wl,n,k
3.177,1.3916900,1.370000E-04
3.1848,1.3917300,1.370000E-04
3.1927,1.3912400,1.380000E-04
3.2085,1.3903600,1.420000E-04
3.2164,1.3899300,1.450000E-04
3.2244,1.3892100,1.460000E-04
3.2325,1.3887600,1.450000E-04
3.2487,1.3881700,1.460000E-04
3.2569,1.3873700,1.470000E-04
3.2651,1.3865000,1.490000E-04
3.2733,1.3862700,1.510000E-04
3.2899,1.3865800,1.510000E-04
3.2983,1.3859100,1.480000E-04
3.3067,1.3844800,1.470000E-04
3.3152,1.3827200,1.480000E-04
3.3237,1.3810000,1.500000E-04
3.3322,1.3786300,1.000000E-03
3.3494,1.3709700,8.070000E-03
3.3581,1.3696700,1.860000E-02
3.3668,1.3768700,3.190000E-02
3.3756,1.3931600,3.830000E-02
3.3844,1.4086600,3.130000E-02
3.3933,1.4142700,1.830000E-02
3.4022,1.4118400,8.360000E-03
3.4111,1.4069900,3.550000E-03
3.4292,1.4007900,3.330000E-03
3.4383,1.4006800,4.630000E-03
3.4474,1.4012900,4.560000E-03
3.4566,1.4015500,3.000000E-03
3.4658,1.4012600,1.450000E-03
3.4751,1.4005400,1.050000E-03
3.4845,1.3994900,1.630000E-04
3.4939,1.3985700,1.630000E-04
3.5033,1.3980400,1.640000E-04
3.5128,1.3975100,1.650000E-04
3.5224,1.3970800,1.670000E-04
3.532,1.3970600,1.660000E-04
3.5416,1.3967700,1.650000E-04
3.5513,1.3963900,1.670000E-04
3.5611,1.3964400,1.700000E-04
3.5709,1.3964500,1.690000E-04
3.5807,1.3961300,1.700000E-04
3.5907,1.3957300,1.710000E-04
3.6006,1.3952600,1.700000E-04
3.6107,1.3948800,1.690000E-04
3.6207,1.3942500,1.700000E-04
3.6309,1.3938700,1.710000E-04
3.6411,1.3937100,1.730000E-04
3.6513,1.3933600,1.760000E-04
3.6617,1.3929900,1.750000E-04
3.672,1.3927500,1.740000E-04
3.6825,1.3927900,1.750000E-04
3.693,1.3928500,1.780000E-04
3.7035,1.3929200,1.800000E-04
3.7141,1.3933800,1.810000E-04
3.7248,1.3935300,1.820000E-04
3.7355,1.3928400,1.810000E-04
3.7463,1.3922100,1.780000E-04
3.7572,1.3920400,1.790000E-04
3.7681,1.3917800,1.820000E-04
3.7791,1.3913700,1.700000E-04
3.7901,1.3911700,1.430000E-04
3.8013,1.3909600,1.190000E-04
3.8124,1.3905200,1.020000E-04
3.8237,1.3901200,8.860000E-05
3.835,1.3901500,7.940000E-05
3.8464,1.3904600,7.280000E-05
3.8578,1.3903500,6.830000E-05
3.8693,1.3898400,6.530000E-05
3.8809,1.3894900,6.360000E-05
3.8926,1.3892200,6.300000E-05
3.9043,1.3890900,6.360000E-05
3.9161,1.3891100,6.560000E-05
3.928,1.3889900,6.920000E-05
3.9399,1.3888500,7.420000E-05
3.9519,1.3889500,8.170000E-05
3.964,1.3890100,9.420000E-05
3.9762,1.3886800,1.150000E-04
3.9884,1.3883100,1.460000E-04
4.0007,1.3883500,1.780000E-04
4.0131,1.3883600,1.650000E-04
4.0255,1.3882500,1.290000E-04
4.0381,1.3882700,1.020000E-04
4.0507,1.3883100,8.450000E-05
4.0634,1.3882100,7.400000E-05
4.0762,1.3879600,6.740000E-05
4.089,1.3874700,6.320000E-05
4.102,1.3869900,6.050000E-05
4.115,1.3868600,5.900000E-05
4.1281,1.3867400,5.870000E-05
4.1413,1.3864400,5.930000E-05
4.1546,1.3864500,6.070000E-05
4.1679,1.3865200,6.280000E-05
4.1814,1.3861100,6.530000E-05
4.1949,1.3857800,6.770000E-05
4.2085,1.3861200,6.990000E-05
4.2222,1.3870700,7.220000E-05
4.236,1.3874300,7.610000E-05
4.2499,1.3862300,8.060000E-05
4.2639,1.3848900,8.410000E-05
4.278,1.3844500,8.870000E-05
4.2921,1.3848700,9.500000E-05
4.3064,1.3848200,1.030000E-04
4.3208,1.3839300,1.110000E-04
4.3352,1.3833000,1.200000E-04
4.3498,1.3829900,1.310000E-04
4.3644,1.3825700,1.450000E-04
4.3791,1.3821300,1.590000E-04
4.394,1.3818900,1.730000E-04
4.4089,1.3821600,1.870000E-04
4.424,1.3825000,1.980000E-04
4.4391,1.3821700,2.090000E-04
4.4544,1.3816200,2.190000E-04
4.4697,1.3814500,2.260000E-04
4.4852,1.3812500,2.260000E-04
4.5008,1.3807900,2.270000E-04
4.5165,1.3802600,2.240000E-04
4.5323,1.3797200,2.250000E-04
4.5482,1.3792500,2.330000E-04
4.5642,1.3788000,2.370000E-04
4.5803,1.3783700,2.360000E-04
4.5965,1.3780700,2.350000E-04
4.6129,1.3782600,2.330000E-04
4.6294,1.3787800,2.320000E-04
4.646,1.3797800,2.340000E-04
4.6627,1.3804500,2.360000E-04
4.6795,1.3803300,2.340000E-04
4.6965,1.3797100,2.350000E-04
4.7136,1.3789300,2.400000E-04
4.7308,1.3785100,2.380000E-04
4.7481,1.3786100,2.390000E-04
4.7655,1.3787200,2.420000E-04
4.7831,1.3783600,2.450000E-04
4.8008,1.3778300,2.490000E-04
4.8187,1.3774500,2.490000E-04
4.8367,1.3769900,2.450000E-04
4.8548,1.3766700,2.450000E-04
4.873,1.3764500,2.490000E-04
4.8914,1.3764300,2.470000E-04
4.91,1.3762700,2.500000E-04
4.9286,1.3755100,2.530000E-04
4.9474,1.3747800,2.580000E-04
4.9664,1.3745200,2.610000E-04
4.9855,1.3741300,2.630000E-04
5.0047,1.3734200,2.580000E-04
5.0241,1.3730100,2.550000E-04
5.0437,1.3728600,2.640000E-04
5.0634,1.3723000,2.600000E-04
5.0832,1.3714000,2.580000E-04
5.1033,1.3710100,2.620000E-04
5.1234,1.3711200,2.630000E-04
5.1438,1.3715100,2.650000E-04
5.1643,1.3716100,2.600000E-04
5.1849,1.3711600,2.600000E-04
5.2057,1.3706100,2.670000E-04
5.2267,1.3701000,2.800000E-04
5.2479,1.3697400,2.720000E-04
5.2692,1.3694500,2.690000E-04
5.2907,1.3693000,2.760000E-04
5.3124,1.3685700,2.740000E-04
5.3343,1.3681900,2.710000E-04
5.3563,1.3678500,2.670000E-04
5.3785,1.3669800,2.820000E-04
5.4009,1.3662300,2.800000E-04
5.4235,1.3657600,2.810000E-04
5.4463,1.3656300,2.770000E-04
5.4693,1.3649300,2.770000E-04
5.4925,1.3640000,2.760000E-04
5.5159,1.3637600,2.820000E-04
5.5394,1.3636600,2.840000E-04
5.5632,1.3633200,2.790000E-04
5.5872,1.3626800,2.810000E-04
5.6114,1.3618800,2.770000E-04
5.6358,1.3612400,2.790000E-04
5.6604,1.3606300,2.910000E-04
5.6852,1.3601700,2.900000E-04
5.7103,1.3595200,2.790000E-04
5.7355,1.3585100,2.770000E-04
5.761,1.3578800,2.820000E-04
5.7867,1.3575600,2.950000E-04
5.8127,1.3570000,2.910000E-04
