WLnm, Rdata
1.353051e+03, 8.581640e-01
1.353651e+03, 8.581476e-01
1.354251e+03, 8.581267e-01
1.354852e+03, 8.581015e-01
1.355452e+03, 8.580716e-01
1.356052e+03, 8.580373e-01
1.356652e+03, 8.579985e-01
1.357252e+03, 8.579552e-01
1.357853e+03, 8.579074e-01
1.358453e+03, 8.578551e-01
1.359053e+03, 8.577984e-01
1.359653e+03, 8.577372e-01
1.360253e+03, 8.576716e-01
1.360854e+03, 8.576015e-01
1.361454e+03, 8.575270e-01
1.362054e+03, 8.574481e-01
1.362654e+03, 8.573648e-01
1.363254e+03, 8.572771e-01
1.363855e+03, 8.571849e-01
1.364455e+03, 8.570884e-01
1.365055e+03, 8.569874e-01
1.365655e+03, 8.568821e-01
1.366255e+03, 8.567724e-01
1.366856e+03, 8.566583e-01
1.367456e+03, 8.565398e-01
1.368056e+03, 8.564170e-01
1.368656e+03, 8.562898e-01
1.369256e+03, 8.561582e-01
1.369857e+03, 8.560223e-01
1.370457e+03, 8.558820e-01
1.371057e+03, 8.557373e-01
1.371657e+03, 8.555883e-01
1.372257e+03, 8.554349e-01
1.372858e+03, 8.552771e-01
1.373458e+03, 8.551150e-01
1.374058e+03, 8.549484e-01
1.374658e+03, 8.547775e-01
1.375258e+03, 8.546022e-01
1.375859e+03, 8.544226e-01
1.376459e+03, 8.542385e-01
1.377059e+03, 8.540501e-01
1.377659e+03, 8.538573e-01
1.378259e+03, 8.536601e-01
1.378860e+03, 8.534584e-01
1.379460e+03, 8.532524e-01
1.380060e+03, 8.530420e-01
1.380660e+03, 8.528271e-01
1.381260e+03, 8.526079e-01
1.381861e+03, 8.523840e-01
1.382461e+03, 8.521557e-01
1.383061e+03, 8.519229e-01
1.383661e+03, 8.516857e-01
1.384261e+03, 8.514441e-01
1.384862e+03, 8.511979e-01
1.385462e+03, 8.509473e-01
1.386062e+03, 8.506923e-01
1.386662e+03, 8.504327e-01
1.387262e+03, 8.501686e-01
1.387863e+03, 8.499000e-01
1.388463e+03, 8.496269e-01
1.389063e+03, 8.493492e-01
1.389663e+03, 8.490670e-01
1.390263e+03, 8.487803e-01
1.390864e+03, 8.484890e-01
1.391464e+03, 8.481931e-01
1.392064e+03, 8.478926e-01
1.392664e+03, 8.475875e-01
1.393264e+03, 8.472777e-01
1.393865e+03, 8.469634e-01
1.394465e+03, 8.466444e-01
1.395065e+03, 8.463207e-01
1.395665e+03, 8.459925e-01
1.396265e+03, 8.456595e-01
1.396866e+03, 8.453219e-01
1.397466e+03, 8.449795e-01
1.398066e+03, 8.446324e-01
1.398666e+03, 8.442806e-01
1.399266e+03, 8.439240e-01
1.399867e+03, 8.435626e-01
1.400467e+03, 8.431963e-01
1.401067e+03, 8.428253e-01
1.401667e+03, 8.424494e-01
1.402267e+03, 8.420687e-01
1.402868e+03, 8.416831e-01
1.403468e+03, 8.412925e-01
1.404068e+03, 8.408971e-01
1.404668e+03, 8.404967e-01
1.405268e+03, 8.400914e-01
1.405869e+03, 8.396811e-01
1.406469e+03, 8.392657e-01
1.407069e+03, 8.388454e-01
1.407669e+03, 8.384200e-01
1.408269e+03, 8.379896e-01
1.408870e+03, 8.375540e-01
1.409470e+03, 8.371135e-01
1.410070e+03, 8.366679e-01
1.410670e+03, 8.362171e-01
