WLnm, Rdata
1.376445e+03, 7.370051e-01
1.377091e+03, 7.366633e-01
1.377737e+03, 7.363204e-01
1.378382e+03, 7.359764e-01
1.379028e+03, 7.356313e-01
1.379673e+03, 7.352851e-01
1.380319e+03, 7.349378e-01
1.380964e+03, 7.345895e-01
1.381610e+03, 7.342400e-01
1.382255e+03, 7.338894e-01
1.382901e+03, 7.335377e-01
1.383547e+03, 7.331849e-01
1.384192e+03, 7.328311e-01
1.384838e+03, 7.324761e-01
1.385483e+03, 7.321200e-01
1.386129e+03, 7.317629e-01
1.386774e+03, 7.314046e-01
1.387420e+03, 7.310452e-01
1.388065e+03, 7.306848e-01
1.388711e+03, 7.303232e-01
1.389356e+03, 7.299605e-01
1.390002e+03, 7.295968e-01
1.390648e+03, 7.292319e-01
1.391293e+03, 7.288659e-01
1.391939e+03, 7.284988e-01
1.392584e+03, 7.281306e-01
1.393230e+03, 7.277613e-01
1.393875e+03, 7.273909e-01
1.394521e+03, 7.270194e-01
1.395166e+03, 7.266468e-01
1.395812e+03, 7.262731e-01
1.396457e+03, 7.258982e-01
1.397103e+03, 7.255222e-01
1.397749e+03, 7.251452e-01
1.398394e+03, 7.247670e-01
1.399040e+03, 7.243877e-01
1.399685e+03, 7.240073e-01
1.400331e+03, 7.236257e-01
1.400976e+03, 7.232431e-01
1.401622e+03, 7.228594e-01
1.402267e+03, 7.224745e-01
1.402913e+03, 7.220885e-01
1.403559e+03, 7.217014e-01
1.404204e+03, 7.213132e-01
1.404850e+03, 7.209238e-01
1.405495e+03, 7.205334e-01
1.406141e+03, 7.201418e-01
1.406786e+03, 7.197491e-01
1.407432e+03, 7.193552e-01
1.408077e+03, 7.189603e-01
1.408723e+03, 7.185642e-01
1.409368e+03, 7.181670e-01
1.410014e+03, 7.177688e-01
1.410660e+03, 7.173693e-01
1.411305e+03, 7.169688e-01
1.411951e+03, 7.165671e-01
1.412596e+03, 7.161643e-01
1.413242e+03, 7.157604e-01
1.413887e+03, 7.153553e-01
1.414533e+03, 7.149492e-01
1.415178e+03, 7.145418e-01
1.415824e+03, 7.141334e-01
1.416469e+03, 7.137238e-01
1.417115e+03, 7.133131e-01
1.417761e+03, 7.129013e-01
1.418406e+03, 7.124883e-01
1.419052e+03, 7.120742e-01
1.419697e+03, 7.116589e-01
1.420343e+03, 7.112425e-01
1.420988e+03, 7.108250e-01
1.421634e+03, 7.104063e-01
1.422279e+03, 7.099865e-01
1.422925e+03, 7.095656e-01
1.423571e+03, 7.091435e-01
1.424216e+03, 7.087202e-01
1.424862e+03, 7.082958e-01
1.425507e+03, 7.078703e-01
1.426153e+03, 7.074436e-01
1.426798e+03, 7.070157e-01
1.427444e+03, 7.065868e-01
1.428089e+03, 7.061566e-01
1.428735e+03, 7.057254e-01
1.429380e+03, 7.052929e-01
1.430026e+03, 7.048594e-01
1.430672e+03, 7.044247e-01
1.431317e+03, 7.039888e-01
1.431963e+03, 7.035518e-01
1.432608e+03, 7.031136e-01
1.433254e+03, 7.026743e-01
1.433899e+03, 7.022338e-01
1.434545e+03, 7.017922e-01
1.435190e+03, 7.013495e-01
1.435836e+03, 7.009055e-01
1.436481e+03, 7.004604e-01
1.437127e+03, 7.000142e-01
1.437773e+03, 6.995668e-01
1.438418e+03, 6.991183e-01
1.439064e+03, 6.986686e-01
1.439709e+03, 6.982177e-01
1.440355e+03, 6.977657e-01
1.441000e+03, 6.973125e-01
1.441646e+03, 6.968581e-01
1.442291e+03, 6.964026e-01
1.442937e+03, 6.959459e-01
1.443583e+03, 6.954881e-01
1.444228e+03, 6.950291e-01
1.444874e+03, 6.945690e-01
1.445519e+03, 6.941076e-01
1.446165e+03, 6.936451e-01
1.446810e+03, 6.931815e-01
1.447456e+03, 6.927166e-01
1.448101e+03, 6.922507e-01
1.448747e+03, 6.917835e-01
1.449392e+03, 6.913152e-01
1.450038e+03, 6.908457e-01
1.450684e+03, 6.903750e-01
1.451329e+03, 6.899031e-01
1.451975e+03, 6.894301e-01
1.452620e+03, 6.889559e-01
1.453266e+03, 6.884805e-01
1.453911e+03, 6.880040e-01
1.454557e+03, 6.875262e-01
1.455202e+03, 6.870473e-01
1.455848e+03, 6.865673e-01
1.456493e+03, 6.860860e-01
1.457139e+03, 6.856036e-01
1.457785e+03, 6.851200e-01
1.458430e+03, 6.846352e-01
1.459076e+03, 6.841492e-01
1.459721e+03, 6.836620e-01
1.460367e+03, 6.831737e-01
1.461012e+03, 6.826842e-01
1.461658e+03, 6.821935e-01
1.462303e+03, 6.817016e-01
1.462949e+03, 6.812086e-01
1.463595e+03, 6.807143e-01
1.464240e+03, 6.802189e-01
1.464886e+03, 6.797223e-01
1.465531e+03, 6.792245e-01
1.466177e+03, 6.787255e-01
1.466822e+03, 6.782253e-01
1.467468e+03, 6.777239e-01
1.468113e+03, 6.772214e-01
1.468759e+03, 6.767176e-01
1.469404e+03, 6.762127e-01
1.470050e+03, 6.757066e-01
1.470696e+03, 6.751993e-01
1.471341e+03, 6.746908e-01
1.471987e+03, 6.741811e-01
1.472632e+03, 6.736702e-01
1.473278e+03, 6.731581e-01
1.473923e+03, 6.726448e-01
1.474569e+03, 6.721304e-01
1.475214e+03, 6.716147e-01
1.475860e+03, 6.710978e-01
1.476506e+03, 6.705798e-01
1.477151e+03, 6.700605e-01
1.477797e+03, 6.695401e-01
1.478442e+03, 6.690184e-01
1.479088e+03, 6.684956e-01
1.479733e+03, 6.679715e-01
1.480379e+03, 6.674463e-01
1.481024e+03, 6.669199e-01
1.481670e+03, 6.663922e-01
1.482315e+03, 6.658634e-01
