MRQuerry1985_OpticalConstants_refractiveindex.info,,,,,
wl,n-e,k-e,n-o,k-o,
2.5445,1.704,0.012,1.728,0.019,
2.551,1.704,0.012,1.728,0.019,
2.5575,1.703,0.012,1.727,0.019,
2.5641,1.703,0.013,1.727,0.019,
2.5707,1.703,0.013,1.727,0.019,
2.5773,1.702,0.012,1.727,0.019,
2.584,1.702,0.012,1.727,0.02,
2.5907,1.701,0.012,1.726,0.019,
2.5974,1.701,0.012,1.726,0.019,
2.6042,1.7,0.013,1.726,0.019,
2.611,1.7,0.013,1.726,0.02,
2.6178,1.699,0.013,1.726,0.02,
2.6247,1.699,0.013,1.726,0.02,
2.6316,1.699,0.014,1.725,0.02,
2.6385,1.698,0.015,1.725,0.02,
2.6455,1.698,0.015,1.725,0.02,
2.6525,1.698,0.015,1.725,0.02,
2.6596,1.698,0.014,1.725,0.02,
2.6667,1.698,0.015,1.724,0.02,
2.6738,1.698,0.016,1.724,0.02,
2.681,1.698,0.016,1.725,0.02,
2.6882,1.698,0.016,1.725,0.02,
2.6954,1.698,0.015,1.724,0.02,
2.7027,1.698,0.015,1.724,0.019,
2.71,1.697,0.016,1.723,0.019,
2.7174,1.697,0.016,1.723,0.019,
2.7248,1.696,0.016,1.722,0.02,
2.7322,1.696,0.016,1.722,0.021,
2.7397,1.697,0.017,1.722,0.021,
2.7473,1.697,0.017,1.723,0.021,
2.7548,1.697,0.018,1.723,0.021,
2.7624,1.697,0.017,1.723,0.021,
2.7701,1.697,0.016,1.723,0.021,
2.7778,1.697,0.015,1.722,0.021,
2.7855,1.697,0.016,1.722,0.021,
2.7933,1.696,0.016,1.722,0.02,
2.8011,1.696,0.016,1.722,0.02,
2.809,1.695,0.016,1.722,0.021,
2.8169,1.695,0.016,1.722,0.021,
2.8249,1.695,0.016,1.721,0.021,
2.8329,1.695,0.017,1.721,0.021,
2.8409,1.695,0.017,1.721,0.02,
2.849,1.695,0.016,1.721,0.02,
2.8571,1.694,0.016,1.72,0.021,
2.8653,1.694,0.016,1.72,0.021,
2.8736,1.694,0.016,1.72,0.02,
2.8818,1.694,0.017,1.72,0.02,
2.8902,1.693,0.017,1.72,0.02,
2.8986,1.693,0.016,1.72,0.02,
2.907,1.693,0.016,1.719,0.02,
2.9155,1.692,0.016,1.719,0.02,
2.924,1.692,0.017,1.719,0.02,
2.9326,1.692,0.017,1.718,0.02,
2.9412,1.691,0.017,1.718,0.02,
2.9499,1.691,0.016,1.718,0.021,
2.9586,1.691,0.017,1.718,0.021,
2.9674,1.69,0.017,1.717,0.021,
2.9762,1.69,0.018,1.718,0.02,
2.9851,1.69,0.018,1.718,0.02,
2.994,1.69,0.018,1.717,0.02,
3.003,1.69,0.018,1.717,0.021,
3.012,1.69,0.018,1.717,0.02,
3.0211,1.69,0.019,1.717,0.02,
3.0303,1.689,0.018,1.716,0.019,
3.0395,1.689,0.018,1.716,0.019,
3.0488,1.689,0.017,1.715,0.02,
3.0581,1.688,0.018,1.715,0.02,
3.0675,1.688,0.019,1.715,0.019,
3.0769,1.688,0.019,1.714,0.019,
3.0864,1.688,0.018,1.714,0.019,
3.096,1.687,0.017,1.713,0.02,
3.1056,1.687,0.018,1.713,0.019,
3.1153,1.686,0.019,1.712,0.019,
3.125,1.686,0.02,1.712,0.019,
3.1348,1.686,0.019,1.712,0.02,
3.1447,1.687,0.019,1.712,0.02,
3.1546,1.686,0.018,1.712,0.02,
3.1646,1.686,0.019,1.711,0.019,
3.1746,1.685,0.019,1.711,0.019,
3.1847,1.685,0.019,1.71,0.019,
3.1949,1.685,0.019,1.709,0.02,
