wl_um,n,k
0.91858100,1.459663,0.001135
0.92776600,1.459593,0.001124
0.93704300,1.459525,0.001112
0.94641300,1.459458,0.001101
0.95587600,1.459392,0.00109
0.96543400,1.459328,0.001079
0.97508700,1.459265,0.001068
0.98483700,1.459203,0.001058
0.99468400,1.459143,0.001047
1.00463000,1.459083,0.001036
1.01468000,1.459025,0.001026
1.02482000,1.458968,0.001016
1.03507000,1.458912,0.001006
1.04542000,1.458858,0.000996
1.05587000,1.458804,0.000986
1.06643000,1.458752,0.000976
1.07709000,1.4587,0.000966
1.08786000,1.45865,0.000956
1.09874000,1.4586,0.000947
1.10973000,1.458552,0.000937
1.12082000,1.458504,0.000928
1.13203000,1.458458,0.000919
1.14335000,1.458412,0.000909
1.15478000,1.458368,0.0009
1.16633000,1.458324,0.000891
1.17799000,1.458281,0.000882
1.18977000,1.458239,0.000874
1.20167000,1.458198,0.000865
1.21368000,1.458157,0.000856
1.22582000,1.458118,0.000848
1.23807000,1.458079,0.000839
1.25045000,1.458041,0.000831
1.26296000,1.458004,0.000822
1.27558000,1.457967,0.000814
1.28834000,1.457931,0.000806
1.30122000,1.457896,0.000798
1.31423000,1.457862,0.00079
1.32737000,1.457828,0.000782
1.34065000,1.457795,0.000774
1.35405000,1.457763,0.000767
1.36759000,1.457731,0.000759
1.38127000,1.4577,0.000751
1.39508000,1.457669,0.000744
1.40903000,1.45764,0.000737
1.42311000,1.45761,0.000729
1.43734000,1.457582,0.000722
1.45172000,1.457553,0.000715
1.46623000,1.457526,0.000708
1.48089000,1.457499,0.000701
1.49570000,1.457472,0.000694
1.51066000,1.457447,0.000687
