thisWorkwl,thisWorkn,thisWorkk
572.727661,3.779081,0.458746
574.320801,3.767097,0.466107
575.91394,3.755861,0.474325
577.507202,3.74547,0.483397
579.100464,3.736029,0.493309
580.693726,3.727655,0.504032
582.286987,3.720474,0.515521
583.880371,3.714618,0.527707
585.473694,3.710224,0.540496
587.067078,3.707427,0.553768
588.660461,3.706357,0.567367
590.253906,3.707129,0.581105
591.84729,3.709836,0.59476
593.440796,3.714538,0.60808
595.034241,3.721254,0.620784
596.627747,3.729954,0.632572
598.221252,3.740547,0.643139
599.814758,3.752882,0.652182
601.408264,3.766744,0.659424
603.001831,3.781859,0.664622
604.595337,3.797902,0.667588
606.188965,3.814512,0.668199
607.782532,3.831308,0.666405
609.376099,3.847908,0.662232
610.969727,3.863947,0.655781
612.563293,3.879092,0.647218
614.156921,3.89306,0.636761
615.750549,3.905622,0.62467
617.344116,3.91661,0.611227
618.937805,3.925913,0.596722
620.531372,3.933477,0.581443
622.125,3.939296,0.565661
623.718628,3.943404,0.549627
625.312256,3.945866,0.533565
626.905884,3.946768,0.51767
628.499512,3.946212,0.502109
630.09314,3.944308,0.487022
631.686768,3.941166,0.472528
633.280396,3.936897,0.458725
634.873962,3.931605,0.445695
636.46759,3.925388,0.433511
638.061157,3.918337,0.42224
639.654785,3.910534,0.411948
641.248352,3.902059,0.402704
642.841919,3.892985,0.394589
644.435425,3.883389,0.3877
646.028992,3.873356,0.382153
647.622498,3.862991,0.378098
649.216003,3.852432,0.375715
650.809509,3.841877,0.375227
652.403015,3.831618,0.37689
653.99646,3.822088,0.380981
655.589966,3.813925,0.387751
657.18335,3.80804,0.397324
658.776733,3.805654,0.409521
660.370117,3.808226,0.423583
661.963501,3.817156,0.437856
663.556824,3.833148,0.449662
665.150146,3.855389,0.455711
666.743469,3.881109,0.453244
668.336731,3.90621,0.441395
669.929993,3.926841,0.421683
671.523193,3.940796,0.397176
673.116333,3.947802,0.371073
674.709534,3.948879,0.345748
676.302612,3.94552,0.322528
677.895752,3.939146,0.301921
679.488831,3.930883,0.283939
681.081848,3.921541,0.268353
682.674805,3.911664,0.25485
684.267761,3.901605,0.24311
685.860718,3.891583,0.232844
687.453613,3.881729,0.223805
689.046448,3.872118,0.215789
690.639282,3.862787,0.208626
692.232056,3.853751,0.20218
693.824768,3.845014,0.196339
695.417419,3.836568,0.191014
697.010132,3.828403,0.18613
698.602661,3.820505,0.181627
700.195251,3.812859,0.177454
701.78772,3.805452,0.17357
703.380249,3.798269,0.169941
704.972656,3.791297,0.166537
706.565063,3.784523,0.163333
708.157349,3.777936,0.160309
709.749634,3.771523,0.157446
711.341858,3.765276,0.154729
712.93396,3.759185,0.152145
714.526123,3.753241,0.149682
716.118164,3.747437,0.14733
717.710205,3.741764,0.145079
719.302124,3.736217,0.142922
720.894043,3.730789,0.140852
722.485901,3.725475,0.138863
724.077637,3.720268,0.136949
725.669373,3.715165,0.135104
727.261047,3.71016,0.133325
728.852661,3.70525,0.131607
730.444153,3.70043,0.129947
732.035645,3.695697,0.12834
733.627075,3.691047,0.126785
735.218384,3.686477,0.125278
736.809692,3.681984,0.123817
738.400879,3.677565,0.122399
739.992004,3.673217,0.121021
741.58313,3.668938,0.119683
743.174072,3.664726,0.118382
744.765015,3.660578,0.117116
746.355835,3.656493,0.115884
747.946655,3.652467,0.114684
749.537415,3.6485,0.113514
751.128052,3.644589,0.112374
752.718628,3.640733,0.111262
754.309082,3.63693,0.110177
755.899475,3.633179,0.109118
757.489807,3.629478,0.108084
759.080078,3.625825,0.107074
760.670288,3.622219,0.106086
762.260376,3.61866,0.105121
763.850342,3.615145,0.104177
765.440308,3.611674,0.103253
767.030151,3.608246,0.102349
768.619873,3.604859,0.101465
770.209534,3.601512,0.100598
771.799133,3.598204,0.099749
773.388611,3.594935,0.098918
774.978027,3.591704,0.098103
776.567322,3.588509,0.097304
778.156616,3.585349,0.09652
779.745728,3.582225,0.095752
781.334778,3.579134,0.094998
