measWL,meas202210_Ravg,+,-,meas202210_Tavg,+,-,meas202210_Aavg,+,-
1049,0.574662051,0.021627509,-0.01976454,0.385929933,0.014228748,-0.012950472,0.039408015,0.032466295,-0.035856257
1050,0.579378396,0.018271766,-0.018628087,0.388849693,0.013680796,-0.014032672,0.031771911,0.031005835,-0.031952562
1051,0.576870639,0.018974495,-0.018245048,0.385409807,0.016539584,-0.0185843,0.037719554,0.036829347,-0.035514079
1052,0.589957856,0.022227721,-0.020077094,0.387067205,0.021822081,-0.027064695,0.022974939,0.047141789,-0.044049803
1053,0.586934391,0.018612403,-0.018659582,0.386873756,0.016683891,-0.018855935,0.026191853,0.03635828,-0.035296294
1054,0.581740709,0.020398474,-0.019292357,0.391284845,0.013112946,-0.014112789,0.026974446,0.029736564,-0.029615915
1055,0.580195387,0.021901012,-0.020001296,0.392826022,0.015177996,-0.013876093,0.026978591,0.032919817,-0.037079008
1056,0.58009401,0.020560867,-0.019733315,0.394816625,0.015735461,-0.013939838,0.025089365,0.033146779,-0.036296328
1057,0.578031452,0.02086596,-0.019411144,0.395432277,0.0168721,-0.014648006,0.026536271,0.033238425,-0.03773806
1058,0.573927196,0.018873877,-0.01860929,0.39512083,0.018309684,-0.015730056,0.030951974,0.034339346,-0.037183561
1059,0.572804419,0.019455071,-0.019218345,0.39386757,0.015834811,-0.015431479,0.033328011,0.034649824,-0.032908044
1060,0.567149086,0.020177599,-0.019282887,0.390811454,0.014276128,-0.015190802,0.04203946,0.034473689,-0.034453728
1061,0.56742959,0.022840072,-0.020136863,0.391098736,0.015839838,-0.014330358,0.041471675,0.034467221,-0.03867991
1062,0.569334883,0.022157853,-0.019494656,0.392732479,0.014894315,-0.014079136,0.037932637,0.033526585,-0.037052168
1063,0.570917281,0.02070913,-0.019365514,0.393861944,0.014567032,-0.014112495,0.035220776,0.033478008,-0.035276162
1064,0.572191499,0.018807016,-0.019165579,0.394763916,0.013519041,-0.013141732,0.033044585,0.032307311,-0.032326057
1065,0.580478334,0.019440007,-0.018731403,0.397731598,0.013488214,-0.012826803,0.021790068,0.031234106,-0.032928221
1066,0.577838012,0.018111797,-0.018532566,0.395602225,0.013751641,-0.013072929,0.026559763,0.030969621,-0.031581618
1067,0.569507667,0.021099144,-0.021910437,0.398008404,0.015266176,-0.014273965,0.032483929,0.036184402,-0.03636532
1068,0.578934065,0.020648793,-0.019171693,0.398004751,0.017811814,-0.01552622,0.023061184,0.034180229,-0.038460607
1069,0.583547982,0.018831565,-0.019182433,0.402429278,0.013407101,-0.014212505,0.014022741,0.033394937,-0.032238667
1070,0.565756961,0.01730836,-0.01723332,0.398204792,0.012388477,-0.012573927,0.036038247,0.029807247,-0.029696837
1071,0.573406166,0.018373634,-0.018207483,0.397220868,0.012121059,-0.012197432,0.029372966,0.030035827,-0.030494693
1072,0.57258275,0.018711729,-0.018401159,0.399222066,0.013065547,-0.012770255,0.028195185,0.030609683,-0.031777276
1073,0.569064802,0.018237729,-0.01772941,0.399785898,0.013884348,-0.013852188,0.0311493,0.031581598,-0.032122077
1074,0.570207776,0.018048338,-0.018650943,0.399521953,0.014237728,-0.014195993,0.030270271,0.032846937,-0.032042116
