simWLnm, simR, simA, simT
1.024185e+03, 7.920700e-01, 1.307429e-04, 2.077992e-01
1.024254e+03, 7.920738e-01, 1.306379e-04, 2.077956e-01
1.024322e+03, 7.920775e-01, 1.305329e-04, 2.077920e-01
1.024391e+03, 7.920812e-01, 1.304279e-04, 2.077884e-01
1.024460e+03, 7.920849e-01, 1.303230e-04, 2.077847e-01
1.024528e+03, 7.920886e-01, 1.302180e-04, 2.077811e-01
1.024597e+03, 7.920923e-01, 1.301131e-04, 2.077776e-01
1.024666e+03, 7.920960e-01, 1.300081e-04, 2.077740e-01
1.024734e+03, 7.920997e-01, 1.299032e-04, 2.077704e-01
1.024803e+03, 7.921034e-01, 1.297983e-04, 2.077668e-01
1.024872e+03, 7.921071e-01, 1.296934e-04, 2.077633e-01
1.024941e+03, 7.921107e-01, 1.295885e-04, 2.077597e-01
1.025009e+03, 7.921144e-01, 1.294858e-04, 2.077561e-01
1.025078e+03, 7.921180e-01, 1.293971e-04, 2.077526e-01
1.025147e+03, 7.921217e-01, 1.293084e-04, 2.077490e-01
1.025215e+03, 7.921254e-01, 1.292197e-04, 2.077454e-01
1.025284e+03, 7.921290e-01, 1.291310e-04, 2.077419e-01
1.025353e+03, 7.921326e-01, 1.290424e-04, 2.077383e-01
1.025422e+03, 7.921363e-01, 1.289537e-04, 2.077348e-01
1.025490e+03, 7.921399e-01, 1.288650e-04, 2.077312e-01
1.025559e+03, 7.921435e-01, 1.287764e-04, 2.077277e-01
1.025628e+03, 7.921471e-01, 1.286878e-04, 2.077242e-01
1.025696e+03, 7.921507e-01, 1.285991e-04, 2.077207e-01
1.025765e+03, 7.921543e-01, 1.285105e-04, 2.077172e-01
1.025834e+03, 7.921579e-01, 1.284219e-04, 2.077137e-01
1.025902e+03, 7.921615e-01, 1.283333e-04, 2.077102e-01
1.025971e+03, 7.921651e-01, 1.282447e-04, 2.077067e-01
1.026040e+03, 7.921686e-01, 1.281562e-04, 2.077032e-01
1.026109e+03, 7.921722e-01, 1.280676e-04, 2.076997e-01
1.026177e+03, 7.921757e-01, 1.279790e-04, 2.076963e-01
1.026246e+03, 7.921793e-01, 1.278905e-04, 2.076928e-01
1.026315e+03, 7.921828e-01, 1.278020e-04, 2.076894e-01
1.026383e+03, 7.921863e-01, 1.277134e-04, 2.076860e-01
1.026452e+03, 7.921898e-01, 1.276249e-04, 2.076825e-01
1.026521e+03, 7.921934e-01, 1.275364e-04, 2.076791e-01
1.026590e+03, 7.921969e-01, 1.274479e-04, 2.076757e-01
1.026658e+03, 7.922004e-01, 1.273594e-04, 2.076723e-01
1.026727e+03, 7.922038e-01, 1.272709e-04, 2.076689e-01
1.026796e+03, 7.922073e-01, 1.271825e-04, 2.076655e-01
1.026864e+03, 7.922108e-01, 1.270940e-04, 2.076621e-01
1.026933e+03, 7.922143e-01, 1.270055e-04, 2.076587e-01
1.027002e+03, 7.922177e-01, 1.269171e-04, 2.076554e-01
1.027071e+03, 7.922212e-01, 1.268287e-04, 2.076520e-01
1.027139e+03, 7.922246e-01, 1.267402e-04, 2.076487e-01
1.027208e+03, 7.922280e-01, 1.266518e-04, 2.076453e-01
1.027277e+03, 7.922315e-01, 1.265634e-04, 2.076420e-01
