wl_nm,n,k
919,1.608088,0
920,1.608062,0
921,1.608035,0
922,1.608009,0
923,1.607982,0
924,1.607956,0
925,1.60793,0
926,1.607904,0
927,1.607877,0
928,1.607852,0
929,1.607826,0
930,1.6078,0
931,1.607774,0
932,1.607748,0
933,1.607723,0
934,1.607697,0
935,1.607672,0
936,1.607647,0
937,1.607621,0
938,1.607596,0
939,1.607571,0
940,1.607546,0
941,1.607521,0
942,1.607496,0
943,1.607471,0
944,1.607447,0
945,1.607422,0
946,1.607398,0
947,1.607373,0
948,1.607349,0
949,1.607324,0
950,1.6073,0
951,1.607276,0
952,1.607252,0
953,1.607228,0
954,1.607204,0
955,1.60718,0
956,1.607156,0
957,1.607133,0
958,1.607109,0
959,1.607085,0
960,1.607062,0
961,1.607038,0
962,1.607015,0
963,1.606992,0
964,1.606969,0
965,1.606945,0
966,1.606922,0
967,1.606899,0
968,1.606876,0
969,1.606854,0
970,1.606831,0
971,1.606808,0
972,1.606785,0
973,1.606763,0
974,1.60674,0
975,1.606718,0
976,1.606696,0
977,1.606673,0
978,1.606651,0
979,1.606629,0
980,1.606607,0
981,1.606585,0
982,1.606563,0
983,1.606541,0
984,1.606519,0
985,1.606497,0
986,1.606475,0
987,1.606454,0
988,1.606432,0
989,1.606411,0
990,1.606389,0
991,1.606368,0
992,1.606346,0
993,1.606325,0
994,1.606304,0
995,1.606283,0
996,1.606262,0
997,1.606241,0
998,1.60622,0
999,1.606199,0
1000,1.606178,0
1001,1.606157333,0
1002,1.606136667,0
1003,1.606116,0
1004,1.606095333,0
1005,1.606074667,0
1006,1.606054,0
1007,1.606033833,0
1008,1.606013667,0
1009,1.6059935,0
1010,1.605973333,0
1011,1.605953167,0
1012,1.605933,0
1013,1.605913167,0
1014,1.605893333,0
1015,1.6058735,0
1016,1.605853667,0
1017,1.605833833,0
1018,1.605814,0
1019,1.605794333,0
1020,1.605774667,0
1021,1.605755,0
1022,1.605735333,0
1023,1.605715667,0
1024,1.605696,0
1025,1.605676833,0
1026,1.605657667,0
1027,1.6056385,0
1028,1.605619333,0
1029,1.605600167,0
1030,1.605581,0
1031,1.605562,0
1032,1.605543,0
1033,1.605524,0
1034,1.605505,0
1035,1.605486,0
1036,1.605467,0
1037,1.6054485,0
1038,1.60543,0
1039,1.6054115,0
1040,1.605393,0
1041,1.6053745,0
1042,1.605356,0
1043,1.605337833,0
1044,1.605319667,0
1045,1.6053015,0
1046,1.605283333,0
1047,1.605265167,0
1048,1.605247,0
1049,1.605229,0
1050,1.605211,0
1051,1.605193,0
1052,1.605175,0
1053,1.605157,0
1054,1.605139,0
1055,1.605121333,0
1056,1.605103667,0
1057,1.605086,0
1058,1.605068333,0
1059,1.605050667,0
1060,1.605033,0
1061,1.605015667,0
1062,1.604998333,0
1063,1.604981,0
1064,1.604963667,0
1065,1.604946333,0
1066,1.604929,0
1067,1.604911833,0
1068,1.604894667,0
1069,1.6048775,0
1070,1.604860333,0
1071,1.604843167,0
1072,1.604826,0
1073,1.604809333,0
1074,1.604792667,0
1075,1.604776,0
1076,1.604759333,0
1077,1.604742667,0
1078,1.604726,0
1079,1.6047095,0
1080,1.604693,0
1081,1.6046765,0
1082,1.60466,0
1083,1.6046435,0
1084,1.604627,0
1085,1.604610667,0
1086,1.604594333,0
1087,1.604578,0
1088,1.604561667,0
1089,1.604545333,0
1090,1.604529,0
1091,1.604513,0
1092,1.604497,0
1093,1.604481,0
1094,1.604465,0
1095,1.604449,0
1096,1.604433,0
1097,1.604417333,0
1098,1.604401667,0
1099,1.604386,0
1100,1.604370333,0
1101,1.604354667,0
1102,1.604339,0
1103,1.6043235,0
1104,1.604308,0
1105,1.6042925,0
1106,1.604277,0
1107,1.6042615,0
1108,1.604246,0
1109,1.604230833,0
1110,1.604215667,0
1111,1.6042005,0
1112,1.604185333,0
1113,1.604170167,0
1114,1.604155,0
1115,1.60414,0
1116,1.604125,0
1117,1.60411,0
1118,1.604095,0
1119,1.60408,0
1120,1.604065,0
1121,1.604050333,0
1122,1.604035667,0
1123,1.604021,0
1124,1.604006333,0
1125,1.603991667,0
1126,1.603977,0
1127,1.6039625,0
1128,1.603948,0
1129,1.6039335,0
1130,1.603919,0
1131,1.6039045,0
1132,1.60389,0
1133,1.603875667,0
1134,1.603861333,0
1135,1.603847,0
1136,1.603832667,0
1137,1.603818333,0
1138,1.603804,0
1139,1.603789833,0
1140,1.603775667,0
1141,1.6037615,0
1142,1.603747333,0
1143,1.603733167,0
1144,1.603719,0
1145,1.603705167,0
1146,1.603691333,0
1147,1.6036775,0
1148,1.603663667,0
1149,1.603649833,0
1150,1.603636,0
1151,1.6036225,0
1152,1.603609,0
1153,1.6035955,0
1154,1.603582,0
1155,1.6035685,0
1156,1.603555,0
1157,1.6035415,0
1158,1.603528,0
1159,1.6035145,0
1160,1.603501,0
1161,1.6034875,0
1162,1.603474,0
1163,1.603460833,0
1164,1.603447667,0
1165,1.6034345,0
1166,1.603421333,0
1167,1.603408167,0
1168,1.603395,0
1169,1.603382,0
1170,1.603369,0
1171,1.603356,0
1172,1.603343,0
1173,1.60333,0
1174,1.603317,0
1175,1.603304167,0
1176,1.603291333,0
1177,1.6032785,0
1178,1.603265667,0
1179,1.603252833,0
1180,1.60324,0
1181,1.603227333,0
1182,1.603214667,0
1183,1.603202,0
1184,1.603189333,0
1185,1.603176667,0
1186,1.603164,0
1187,1.6031515,0
1188,1.603139,0
1189,1.6031265,0
1190,1.603114,0
1191,1.6031015,0
1192,1.603089,0
1193,1.603076833,0
1194,1.603064667,0
1195,1.6030525,0
1196,1.603040333,0
1197,1.603028167,0
1198,1.603016,0
1199,1.603003833,0
1200,1.602991667,0
1201,1.6029795,0
1202,1.602967333,0
1203,1.602955167,0
1204,1.602943,0
1205,1.602931167,0
1206,1.602919333,0
1207,1.6029075,0
1208,1.602895667,0
1209,1.602883833,0
1210,1.602872,0
1211,1.602860167,0
1212,1.602848333,0
1213,1.6028365,0
1214,1.602824667,0
1215,1.602812833,0
1216,1.602801,0
1217,1.6027895,0
1218,1.602778,0
1219,1.6027665,0
1220,1.602755,0
1221,1.6027435,0
1222,1.602732,0
1223,1.602720667,0
1224,1.602709333,0
1225,1.602698,0
1226,1.602686667,0
1227,1.602675333,0
1228,1.602664,0
1229,1.602652833,0
1230,1.602641667,0
1231,1.6026305,0
1232,1.602619333,0
1233,1.602608167,0
1234,1.602597,0
1235,1.602585833,0
1236,1.602574667,0
1237,1.6025635,0
1238,1.602552333,0
1239,1.602541167,0
1240,1.60253,0
1241,1.602519167,0
1242,1.602508333,0
1243,1.6024975,0
1244,1.602486667,0
1245,1.602475833,0
1246,1.602465,0
1247,1.602454167,0
1248,1.602443333,0
1249,1.6024325,0
1250,1.602421667,0
1251,1.602410833,0
1252,1.6024,0
1253,1.6023895,0
1254,1.602379,0
1255,1.6023685,0
1256,1.602358,0
1257,1.6023475,0
1258,1.602337,0
1259,1.6023265,0
1260,1.602316,0
1261,1.6023055,0
1262,1.602295,0
1263,1.6022845,0
1264,1.602274,0
1265,1.602263667,0
1266,1.602253333,0
1267,1.602243,0
1268,1.602232667,0
1269,1.602222333,0
1270,1.602212,0
1271,1.602201833,0
1272,1.602191667,0
1273,1.6021815,0
1274,1.602171333,0
1275,1.602161167,0
1276,1.602151,0
1277,1.602141,0
1278,1.602131,0
1279,1.602121,0
1280,1.602111,0
1281,1.602101,0
1282,1.602091,0
1283,1.602081167,0
1284,1.602071333,0
1285,1.6020615,0
1286,1.602051667,0
1287,1.602041833,0
1288,1.602032,0
1289,1.602022167,0
1290,1.602012333,0
1291,1.6020025,0
1292,1.601992667,0
1293,1.601982833,0
1294,1.601973,0
1295,1.6019635,0
1296,1.601954,0
1297,1.6019445,0
1298,1.601935,0
1299,1.6019255,0
1300,1.601916,0
1301,1.6019065,0
1302,1.601897,0
1303,1.6018875,0
1304,1.601878,0
1305,1.6018685,0
1306,1.601859,0
1307,1.601849667,0
1308,1.601840333,0
1309,1.601831,0
1310,1.601821667,0
1311,1.601812333,0
1312,1.601803,0
1313,1.601793833,0
1314,1.601784667,0
1315,1.6017755,0
1316,1.601766333,0
1317,1.601757167,0
1318,1.601748,0
1319,1.601738833,0
1320,1.601729667,0
1321,1.6017205,0
1322,1.601711333,0
1323,1.601702167,0
1324,1.601693,0
1325,1.601684,0
1326,1.601675,0
1327,1.601666,0
1328,1.601657,0
1329,1.601648,0
1330,1.601639,0
1331,1.601630167,0
1332,1.601621333,0
1333,1.6016125,0
1334,1.601603667,0
1335,1.601594833,0
1336,1.601586,0
1337,1.601577333,0
1338,1.601568667,0
1339,1.60156,0
1340,1.601551333,0
1341,1.601542667,0
1342,1.601534,0
1343,1.601525333,0
1344,1.601516667,0
1345,1.601508,0
1346,1.601499333,0
1347,1.601490667,0
1348,1.601482,0
1349,1.6014735,0
1350,1.601465,0
1351,1.6014565,0
1352,1.601448,0
1353,1.6014395,0
1354,1.601431,0
1355,1.6014225,0
1356,1.601414,0
1357,1.6014055,0
1358,1.601397,0
1359,1.6013885,0
1360,1.60138,0
1361,1.601371833,0
1362,1.601363667,0
1363,1.6013555,0
1364,1.601347333,0
1365,1.601339167,0
1366,1.601331,0
1367,1.601322833,0
1368,1.601314667,0
1369,1.6013065,0
1370,1.601298333,0
1371,1.601290167,0
1372,1.601282,0
1373,1.601273833,0
1374,1.601265667,0
1375,1.6012575,0
1376,1.601249333,0
1377,1.601241167,0
1378,1.601233,0
1379,1.601225,0
1380,1.601217,0
1381,1.601209,0
1382,1.601201,0
1383,1.601193,0
1384,1.601185,0
1385,1.601177167,0
1386,1.601169333,0
1387,1.6011615,0
1388,1.601153667,0
1389,1.601145833,0
1390,1.601138,0
1391,1.601130333,0
1392,1.601122667,0
1393,1.601115,0
1394,1.601107333,0
1395,1.601099667,0
1396,1.601092,0
1397,1.601084167,0
1398,1.601076333,0
1399,1.6010685,0
1400,1.601060667,0
1401,1.601052833,0
1402,1.601045,0
1403,1.6010375,0
1404,1.60103,0
1405,1.6010225,0
1406,1.601015,0
1407,1.6010075,0
1408,1.601,0
1409,1.6009925,0
1410,1.600985,0
1411,1.6009775,0
1412,1.60097,0
1413,1.6009625,0
1414,1.600955,0
1415,1.600947667,0
1416,1.600940333,0
1417,1.600933,0
1418,1.600925667,0
1419,1.600918333,0
1420,1.600911,0
1421,1.600903667,0
1422,1.600896333,0
1423,1.600889,0
1424,1.600881667,0
1425,1.600874333,0
1426,1.600867,0
1427,1.600859833,0
1428,1.600852667,0
1429,1.6008455,0
1430,1.600838333,0
1431,1.600831167,0
1432,1.600824,0
1433,1.600816833,0
1434,1.600809667,0
1435,1.6008025,0
1436,1.600795333,0
1437,1.600788167,0
1438,1.600781,0
1439,1.600774,0
1440,1.600767,0
1441,1.60076,0
1442,1.600753,0
1443,1.600746,0
1444,1.600739,0
1445,1.600732167,0
1446,1.600725333,0
1447,1.6007185,0
1448,1.600711667,0
1449,1.600704833,0
1450,1.600698,0
1451,1.600691167,0
1452,1.600684333,0
1453,1.6006775,0
1454,1.600670667,0
1455,1.600663833,0
1456,1.600657,0
1457,1.600650167,0
1458,1.600643333,0
1459,1.6006365,0
1460,1.600629667,0
1461,1.600622833,0
1462,1.600616,0
1463,1.600609333,0
1464,1.600602667,0
1465,1.600596,0
1466,1.600589333,0
1467,1.600582667,0
1468,1.600576,0
1469,1.600569333,0
1470,1.600562667,0
1471,1.600556,0
1472,1.600549333,0
1473,1.600542667,0
1474,1.600536,0
1475,1.6005295,0
1476,1.600523,0
1477,1.6005165,0
1478,1.60051,0
1479,1.6005035,0
1480,1.600497,0
1481,1.600490667,0
1482,1.600484333,0
1483,1.600478,0
1484,1.600471667,0
1485,1.600465333,0
1486,1.600459,0
1487,1.6004525,0
1488,1.600446,0
1489,1.6004395,0
1490,1.600433,0
1491,1.6004265,0
1492,1.60042,0
1493,1.600413667,0
1494,1.600407333,0
1495,1.600401,0
1496,1.600394667,0
1497,1.600388333,0
1498,1.600382,0
1499,1.600375833,0
1500,1.600369667,0
1501,1.6003635,0
1502,1.600357333,0
1503,1.600351167,0
1504,1.600345,0
1505,1.600338833,0
1506,1.600332667,0
1507,1.6003265,0
1508,1.600320333,0
1509,1.600314167,0
1510,1.600308,0
1511,1.600302,0
1512,1.600296,0
1513,1.60029,0
1514,1.600284,0
1515,1.600278,0
1516,1.600272,0
1517,1.600266,0
1518,1.60026,0
1519,1.600254,0
1520,1.600248,0
1521,1.600242,0
1522,1.600236,0
1523,1.60023,0
1524,1.600224,0
1525,1.600218,0
1526,1.600212,0
1527,1.600206,0
1528,1.6002,0
1529,1.600194167,0
1530,1.600188333,0
1531,1.6001825,0
1532,1.600176667,0
1533,1.600170833,0
1534,1.600165,0
1535,1.600159167,0
1536,1.600153333,0
1537,1.6001475,0
1538,1.600141667,0
1539,1.600135833,0
1540,1.60013,0
1541,1.600124333,0
1542,1.600118667,0
1543,1.600113,0
1544,1.600107333,0
1545,1.600101667,0
1546,1.600096,0
1547,1.600090333,0
1548,1.600084667,0
1549,1.600079,0
1550,1.600073333,0
1551,1.600067667,0
1552,1.600062,0
1553,1.6000565,0
1554,1.600051,0
1555,1.6000455,0
1556,1.60004,0
1557,1.6000345,0
1558,1.600029,0
1559,1.600023333,0
1560,1.600017667,0
1561,1.600012,0
1562,1.600006333,0
1563,1.600000667,0
